Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
VX84HJ,2024-08-02 03:28:29,Desenvolvedor Sênior,Rust; C++; PHP,Cursos online; Documentação oficial,Multinacional; Governo; Open source; Empresa grande; Híbrido,Figma; IntelliJ; AWS,Uso diariamente,Desafio; Reconhecimento; Dinheiro; Resolver problemas,Escalabilidade; Segurança; Documentação; Débito técnico,Cloud Azure; Flutter,Comunidade; Ensinar; Flexibilidade; Curiosidade; Paixão
YU81HU,2024-06-29 12:53:14,Outro,R; Kotlin,Hackathons; Projetos pessoais,Times grandes; Remoto; Startup,AWS; Kubernetes,Uso para documentação,Aprender; Reconhecimento; Impacto,Documentação; Débito técnico; Comunicação,Go; Node.js,Boas oportunidades; Remuneração
WD16PK,2024-08-19 10:04:57,DevOps/Infra,Rust; R; Python; Swift,Trabalho/Prática; Comunidades/Fóruns,Clima flexível; Consultoria; Freelancer; Híbrido,Docker; IntelliJ; Kubernetes; VS Code,Uso em produção,Reconhecimento; Inovação; Impacto; Ensinar,Segurança; Deploy,Node.js; Kotlin; Go; Swift,Mercado aquecido; Crescimento pessoal; Ensinar
TP84NC,2024-03-17 18:53:19,Desenvolvedor Sênior,Dart; Rust; Kotlin,Projetos pessoais; Cursos presenciais; Outros,Startup; Presencial,GitLab; Eclipse; IntelliJ; Docker,Uso com copilotos,Autonomia; Comunidade; Reconhecimento; Estabilidade,Comunicação; Infraestrutura; Falta de requisitos; Bugs difíceis,Go; IA/ML; Kotlin,Desafios; Ensinar; Mercado aquecido; Curiosidade
YW87HW,2024-01-09 23:28:14,Pesquisador,Swift; Rust; Go; Python,Trabalho/Prática; Outros; Blogs/Artigos; Cursos online; Documentação oficial,Times pequenos; Laboratório; Empresa grande; Híbrido; Consultoria,Kubernetes; Jupyter; AWS; VS Code; Eclipse,Nunca uso,Ensinar; Comunidade; Reconhecimento; Pesquisa,Gerenciar tempo; Infraestrutura; Comunicação; Bugs difíceis,Blockchain; Swift,Pesquisa; Boas oportunidades
BK85XW,2024-06-27 17:25:02,DevOps/Infra,Ruby; JavaScript,Trabalho/Prática; Livros; Documentação oficial; Projetos pessoais,Laboratório; Governo; Clima flexível; Presencial,Eclipse; IntelliJ; Azure; GitHub; Docker,Uso para depurar,Ensinar; Estabilidade; Impacto; Desafio; Autonomia,Infraestrutura; Escalabilidade,Cloud Azure; Node.js,Desafios; Comunidade; Remuneração
IR98TT,2024-04-30 13:56:57,Estudante,Ruby; C++; Java; R; SQL,Tutoriais YouTube; Pós-graduação; Blogs/Artigos; Bootcamp,Presencial; Empresa grande; Times pequenos,Vim/Neovim; PyCharm; Kubernetes; Jupyter; Azure,Uso para revisar código,Inovação; Estabilidade; Reconhecimento; Pesquisa,Gerenciar tempo; Segurança; Teste/QA,Cloud AWS; Go; Swift; Cloud Azure; Kubernetes,Comunidade; Ensinar; Reconhecimento; Desafios
PZ77EI,2024-08-12 17:43:57,Estudante,Kotlin; Swift; TypeScript; SQL,Cursos presenciais; Mentoria; Projetos pessoais,Híbrido; Multinacional; Clima flexível,Bitbucket; GCP; Azure; PyCharm,Treino modelos,Criatividade; Reconhecimento,Deploy; Bugs difíceis; Complexidade do código; Mudanças constantes; Dados ruins,IA/ML; Node.js; Kubernetes; Rust,Impacto social; Crescimento pessoal
WM17KY,2024-12-05 04:19:17,Desenvolvedor Júnior,TypeScript; R; Swift; Java,Documentação oficial; Cursos online; Tutoriais YouTube; Trabalho/Prática; Graduação,Governo; Presencial; Startup,VS Code; Docker,Uso para depurar,Carreira; Criatividade; Dinheiro,Ferramentas novas; Infraestrutura,Cloud GCP; Node.js; Go,Boas oportunidades; Reconhecimento; Flexibilidade; Trabalho remoto
TI90PZ,2024-06-27 22:37:20,UX/UI,SQL; Swift; JavaScript; Kotlin,Cursos online; Projetos pessoais,Startup; Multinacional; Híbrido,PyCharm; GitHub; Figma,Nunca uso,Inovação; Estabilidade; Dinheiro; Ensinar; Aprender,Infraestrutura; Bugs difíceis,Rust; Node.js; Cloud Azure,Trabalho remoto; Pesquisa; Mercado aquecido; Flexibilidade; Desafios
JS05SQ,2024-02-11 07:02:59,Analista de Dados,Python; C++; TypeScript; Rust; SQL,Cursos presenciais; Outros,Times grandes; Consultoria; Freelancer; Open source,AWS; Eclipse; IntelliJ; PyCharm; VS Code,Uso semanalmente,Autonomia; Impacto,Ferramentas novas; Deploy; Mudanças constantes,Go; Cloud GCP; Rust; Data Science,Trabalho remoto; Impacto social; Curiosidade
JQ25ZG,2024-08-27 08:47:09,Empreendedor,C++; C#,Hackathons; Pós-graduação; Mentoria; Cursos presenciais; Cursos online,Freelancer; Open source; Empresa grande,IntelliJ; Docker; Eclipse,Uso com copilotos,Dinheiro; Desafio,Escalabilidade; Bugs difíceis; Débito técnico; Falta de requisitos; Segurança,Go; React,Comunidade; Empreender; Desafios; Paixão; Boas oportunidades
IC89TN,2024-08-02 08:10:36,Desenvolvedor Júnior,Rust; TypeScript; Go; C#,Trabalho/Prática; Graduação; Blogs/Artigos; Outros; Projetos pessoais,Laboratório; Remoto; Multinacional; Governo; Startup,Azure; Docker; Bitbucket; VS Code; Eclipse,Uso diariamente,Inovação; Desafio; Ensinar; Resolver problemas,Documentação; Segurança,DevOps; Blockchain; Cloud Azure,Curiosidade; Desafios; Comunidade; Flexibilidade; Remuneração
ZS63XN,2024-04-09 05:01:32,Desenvolvedor Júnior,C++; C#,Cursos online; Livros; Trabalho/Prática; Outros,Laboratório; Consultoria,GCP; Bitbucket; Figma; Jupyter,Crio prompts avançados,Aprender; Carreira,Comunicação; Infraestrutura; Mudanças constantes; Escalabilidade; Complexidade do código,Rust; Node.js; Swift; Go,Mercado aquecido; Boas oportunidades
SE63GR,2024-02-24 22:53:04,Pesquisador,Kotlin; Swift; C++; Ruby; Java,Tutoriais YouTube; Bootcamp; Graduação; Cursos online,Times grandes; Laboratório; Clima flexível,Jupyter; GitHub; Bitbucket,Crio prompts avançados,Dinheiro; Resolver problemas; Carreira; Inovação; Propósito,Segurança; Gerenciar tempo; Infraestrutura; Falta de requisitos; Deploy,Cloud AWS; DevOps; React; Node.js; Cloud GCP,Mercado aquecido; Impacto social
DT17XV,2024-10-10 15:33:41,Professor,Kotlin; TypeScript; Rust; JavaScript; PHP,Trabalho/Prática; Projetos pessoais; Mentoria; Cursos online; Pós-graduação,Clima flexível; Startup; Freelancer,Jupyter; AWS; VS Code; Azure,Uso para ideias,Ensinar; Resolver problemas; Estabilidade; Dinheiro; Impacto,Comunicação; Gerenciar tempo; Dados ruins; Falta de requisitos; Infraestrutura,DevOps; Kubernetes,Impacto social; Mercado aquecido; Desafios
HU90QZ,2024-07-11 04:47:09,Produto/PO,TypeScript; Rust; Java; Kotlin; Ruby,Comunidades/Fóruns; Livros; Projetos pessoais; Graduação; Hackathons,Academia; Governo; Startup; Open source,GitLab; GCP,Uso para testes,Estabilidade; Reconhecimento; Aprender; Comunidade,Deploy; Dados ruins; Documentação,DevOps; IA/ML; Flutter,Reconhecimento; Paixão; Comunidade; Crescimento pessoal
VV81CD,2024-04-10 10:48:35,Pesquisador,Swift; PHP; Dart,Pós-graduação; Documentação oficial,Multinacional; Times pequenos; Empresa grande,GitLab; Jupyter; Bitbucket; Vim/Neovim; Azure,Uso para gerar código,Propósito; Resolver problemas; Pesquisa; Aprender; Estabilidade,Ferramentas novas; Comunicação,Node.js; Kotlin,Remuneração; Desafios; Impacto social; Paixão; Mercado aquecido
IC68CE,2024-07-28 02:24:30,Cientista de Dados,Go; Swift,Mentoria; Comunidades/Fóruns; Tutoriais YouTube; Bootcamp; Cursos online,Governo; Remoto; Freelancer; Laboratório; Times grandes,Jupyter; Azure; PyCharm; Kubernetes; GitLab,Uso em produção,Criatividade; Pesquisa; Reconhecimento,Débito técnico; Teste/QA; Falta de requisitos; Bugs difíceis,Cloud Azure; Rust; Kotlin; Data Science; Go,Desafios; Reconhecimento; Paixão
KP57BC,2024-04-20 11:40:27,Pesquisador,PHP; R; C++; C#,Livros; Tutoriais YouTube; Mentoria,Empresa grande; Presencial,AWS; PyCharm; Figma; Bitbucket; GitLab,Uso para gerar código,Resolver problemas; Inovação; Reconhecimento; Carreira,Escalabilidade; Ferramentas novas; Infraestrutura; Teste/QA,React; Cloud Azure; Blockchain; DevOps; Rust,Reconhecimento; Trabalho remoto; Paixão; Flexibilidade; Curiosidade
LC64YW,2024-09-05 18:38:39,Empreendedor,TypeScript; Swift; Kotlin; SQL,Blogs/Artigos; Cursos presenciais; Outros; Graduação; Documentação oficial,Freelancer; Times grandes; Consultoria,GitHub; Vim/Neovim; Azure; GCP,Uso para documentação,Ensinar; Pesquisa; Inovação; Criatividade,Infraestrutura; Débito técnico; Segurança; Gerenciar tempo; Documentação,Kotlin; Cloud GCP; Flutter,Boas oportunidades; Mercado aquecido
TA32NO,2024-10-24 20:49:37,Cientista de Dados,Java; Dart; PHP; Rust; TypeScript,Cursos online; Documentação oficial; Hackathons; Mentoria; Comunidades/Fóruns,Clima flexível; Times grandes; Open source; Academia; Times pequenos,Vim/Neovim; Bitbucket; IntelliJ; GitLab,Uso para depurar,Reconhecimento; Criatividade; Desafio; Estabilidade,Mudanças constantes; Deploy; Bugs difíceis; Escalabilidade,DevOps; React; Blockchain; Flutter; Swift,Mercado aquecido; Remuneração; Reconhecimento; Desafios
IZ65PW,2024-10-22 02:43:18,Outro,PHP; TypeScript; Dart,Mentoria; Projetos pessoais; Cursos online,Consultoria; Remoto; Clima flexível; Startup; Presencial,IntelliJ; GCP,Nunca uso,Impacto; Comunidade; Criatividade,Teste/QA; Ferramentas novas,Node.js; DevOps; Cloud Azure; Kotlin; Swift,Flexibilidade; Boas oportunidades; Reconhecimento; Trabalho remoto; Desafios
BS22RW,2024-05-17 05:19:16,QA/Testes,Kotlin; C#,Cursos presenciais; Outros; Comunidades/Fóruns; Livros,Academia; Híbrido,Eclipse; Jupyter; Azure,Uso para revisar código,Resolver problemas; Estabilidade; Comunidade; Carreira; Impacto,Bugs difíceis; Teste/QA,DevOps; Kubernetes; Kotlin; Blockchain,Desafios; Trabalho remoto; Paixão; Mercado aquecido; Crescimento pessoal
CS49UH,2024-11-08 21:24:52,Pesquisador,Ruby; TypeScript; Java; Kotlin; Dart,Graduação; Pós-graduação,Open source; Times pequenos; Academia; Freelancer,Figma; Azure,Treino modelos,Resolver problemas; Aprender; Comunidade; Estabilidade; Carreira,Débito técnico; Mudanças constantes; Ferramentas novas; Escalabilidade; Teste/QA,Cloud Azure; Cloud AWS; Kubernetes,Remuneração; Flexibilidade; Paixão; Desafios
PZ77EI,2024-08-12 17:43:57,Estudante,Kotlin; Swift; TypeScript; SQL,Cursos presenciais; Mentoria; Projetos pessoais,Híbrido; Multinacional; Clima flexível,Bitbucket; GCP; Azure; PyCharm,Treino modelos,Criatividade; Reconhecimento,Deploy; Bugs difíceis; Complexidade do código; Mudanças constantes; Dados ruins,IA/ML; Node.js; Kubernetes; Rust,Impacto social; Crescimento pessoal
PO24MP,2024-08-25 11:32:57,Outro,C#; Ruby; Python; Rust; SQL,Mentoria; Documentação oficial; Comunidades/Fóruns; Cursos presenciais; Bootcamp,Times grandes; Open source; Híbrido; Times pequenos; Governo,Kubernetes; GitHub; Docker; VS Code,Uso semanalmente,Desafio; Dinheiro; Pesquisa; Criatividade,Comunicação; Mudanças constantes; Dados ruins; Teste/QA; Deploy,Blockchain; Swift; Flutter; Kotlin,Mercado aquecido; Desafios; Pesquisa; Ensinar; Impacto social
EE99FK,2024-03-07 11:37:49,Estagiário,SQL; PHP; Swift; Kotlin; JavaScript,Pós-graduação; Comunidades/Fóruns; Blogs/Artigos; Graduação,Times grandes; Presencial; Freelancer,GitHub; Eclipse; GitLab; Azure,Crio prompts avançados,Criatividade; Reconhecimento; Carreira,Infraestrutura; Complexidade do código; Ferramentas novas; Escalabilidade,Flutter; Blockchain; Rust; Cloud Azure; Cloud AWS,Desafios; Boas oportunidades; Paixão; Trabalho remoto; Crescimento pessoal
LP59AT,2024-08-02 20:26:35,Outro,R; Kotlin; Go; Rust; Java,Projetos pessoais; Blogs/Artigos; Graduação,Laboratório; Consultoria,AWS; Docker; Bitbucket; Azure,Outro,Carreira; Comunidade; Criatividade,Ferramentas novas; Documentação; Débito técnico; Segurança,Swift; Flutter; Node.js; Go; Cloud GCP,Pesquisa; Reconhecimento; Remuneração; Comunidade
WU61NL,2024-03-10 13:45:14,Produto/PO,Ruby; Dart; Go,Cursos online; Pós-graduação; Hackathons; Livros,Híbrido; Empresa grande; Freelancer,VS Code; GCP; Eclipse,Uso para testes,Comunidade; Pesquisa; Propósito; Aprender,Deploy; Bugs difíceis,Flutter; Go,Empreender; Pesquisa; Desafios; Trabalho remoto
XP15PR,2024-02-28 08:09:07,Outro,Kotlin; R; C++; PHP,Bootcamp; Livros,Times grandes; Empresa grande; Clima flexível; Multinacional,GitLab; VS Code,Crio prompts avançados,Inovação; Estabilidade; Impacto,Débito técnico; Infraestrutura; Ferramentas novas; Escalabilidade,Node.js; Data Science; Blockchain; Swift; Kubernetes,Mercado aquecido; Curiosidade; Crescimento pessoal; Reconhecimento
XO09IY,2024-08-15 23:34:23,Desenvolvedor Júnior,Dart; JavaScript; C++; Java; Kotlin,Mentoria; Blogs/Artigos; Tutoriais YouTube,Laboratório; Clima flexível; Multinacional; Presencial,AWS; GitHub,Uso para revisar código,Resolver problemas; Comunidade,Segurança; Complexidade do código; Bugs difíceis,React; DevOps; IA/ML; Kotlin; Cloud GCP,Flexibilidade; Boas oportunidades; Crescimento pessoal; Remuneração; Impacto social
UO99HZ,2024-07-26 16:20:14,DevOps/Infra,Kotlin; Ruby; Dart; Rust; C++,Tutoriais YouTube; Livros; Projetos pessoais,Presencial; Remoto; Empresa grande,PyCharm; Eclipse; GitLab; AWS,Uso para gerar código,Autonomia; Comunidade; Aprender; Ensinar,Bugs difíceis; Falta de requisitos; Deploy; Segurança,Data Science; Cloud GCP,Empreender; Desafios; Mercado aquecido; Flexibilidade
US35EE,2024-12-02 02:44:48,Outro,Swift; JavaScript,Tutoriais YouTube; Bootcamp; Outros; Blogs/Artigos; Projetos pessoais,Clima flexível; Startup,Jupyter; Eclipse,Uso para testes,Propósito; Carreira; Criatividade,Ferramentas novas; Teste/QA; Escalabilidade,Kotlin; Flutter,Paixão; Desafios; Comunidade; Ensinar
EK34SK,2024-11-04 03:58:15,UX/UI,Java; SQL; Swift; C#,Tutoriais YouTube; Comunidades/Fóruns; Livros; Blogs/Artigos; Projetos pessoais,Academia; Times grandes; Startup; Laboratório; Híbrido,AWS; Azure; GitLab; GitHub; Eclipse,Uso em produção,Dinheiro; Criatividade,Comunicação; Segurança,DevOps; Go,Mercado aquecido; Curiosidade; Paixão; Crescimento pessoal; Pesquisa
RP98GB,2024-08-18 15:57:38,Estudante,Kotlin; Swift; Ruby; Python; C#,Tutoriais YouTube; Livros,Academia; Startup; Clima flexível,IntelliJ; AWS,Uso para gerar código,Propósito; Desafio; Autonomia,Teste/QA; Dados ruins; Documentação; Deploy,Cloud Azure; Cloud GCP; Cloud AWS; Kotlin,Impacto social; Desafios; Empreender
LP59AT,2024-08-02 20:26:35,Outro,R; Kotlin; Go; Rust; Java,Projetos pessoais; Blogs/Artigos; Graduação,Laboratório; Consultoria,AWS; Docker; Bitbucket; Azure,Outro,Carreira; Comunidade; Criatividade,Ferramentas novas; Documentação; Débito técnico; Segurança,Swift; Flutter; Node.js; Go; Cloud GCP,Pesquisa; Reconhecimento; Remuneração; Comunidade
XU89PC,2024-09-23 07:58:17,QA/Testes,Java; TypeScript,Trabalho/Prática; Graduação; Documentação oficial,Remoto; Startup; Governo; Multinacional; Laboratório,Eclipse; GitHub; PyCharm; Figma,Outro,Estabilidade; Resolver problemas; Carreira; Ensinar; Desafio,Dados ruins; Mudanças constantes; Débito técnico; Falta de requisitos; Deploy,Blockchain; DevOps; Kubernetes; Swift,Desafios; Reconhecimento; Boas oportunidades; Paixão; Trabalho remoto
UK16MP,2024-09-27 19:49:00,Estagiário,R; Swift; SQL,Comunidades/Fóruns; Hackathons; Livros; Tutoriais YouTube; Documentação oficial,Startup; Remoto; Times pequenos; Open source,VS Code; Azure; Jupyter,Nunca uso,Estabilidade; Criatividade; Comunidade; Desafio,Bugs difíceis; Segurança,Data Science; Cloud AWS; Blockchain; Swift; Go,Trabalho remoto; Mercado aquecido
EG60PQ,2024-08-20 05:08:33,Professor,Dart; TypeScript; SQL; Kotlin; Rust,Trabalho/Prática; Pós-graduação; Outros; Cursos presenciais; Blogs/Artigos,Governo; Open source; Consultoria; Híbrido; Laboratório,Azure; AWS; GitHub; Vim/Neovim; PyCharm,Uso para documentação,Resolver problemas; Impacto; Dinheiro; Pesquisa; Carreira,Ferramentas novas; Dados ruins,Cloud Azure; Blockchain; Cloud AWS; DevOps,Mercado aquecido; Boas oportunidades; Pesquisa; Ensinar; Remuneração
MX21HI,2024-02-12 14:14:27,UX/UI,R; JavaScript; C#,Livros; Pós-graduação; Cursos online; Tutoriais YouTube; Trabalho/Prática,Clima flexível; Laboratório; Remoto,IntelliJ; Eclipse; Jupyter; GCP,Uso para ideias,Dinheiro; Desafio; Pesquisa; Propósito; Resolver problemas,Débito técnico; Dados ruins,Flutter; Swift; Node.js,Flexibilidade; Reconhecimento
PN63PB,2024-09-14 06:25:29,Desenvolvedor Júnior,C++; Dart; PHP,Projetos pessoais; Blogs/Artigos; Outros; Documentação oficial; Hackathons,Empresa grande; Startup; Híbrido; Times pequenos; Presencial,IntelliJ; PyCharm,Uso semanalmente,Pesquisa; Criatividade; Comunidade; Resolver problemas; Reconhecimento,Documentação; Comunicação; Ferramentas novas; Falta de requisitos,Cloud GCP; Node.js; Data Science; React; Cloud AWS,Empreender; Pesquisa; Reconhecimento; Trabalho remoto
JY34MB,2024-12-03 02:32:18,Estudante,C++; Dart; Swift; Java; JavaScript,Cursos presenciais; Bootcamp; Tutoriais YouTube,Empresa grande; Times pequenos,Bitbucket; Docker; AWS; Eclipse; GCP,Outro,Impacto; Propósito; Aprender; Resolver problemas,Bugs difíceis; Documentação; Falta de requisitos; Débito técnico; Comunicação,Kubernetes; Rust; Node.js; Go,Pesquisa; Impacto social; Crescimento pessoal
VT87PZ,2024-05-05 18:22:22,Desenvolvedor Pleno,R; Python; C#; Rust; Java,Cursos online; Livros; Pós-graduação; Projetos pessoais,Startup; Times grandes; Open source,IntelliJ; VS Code; Vim/Neovim,Uso diariamente,Propósito; Autonomia,Segurança; Ferramentas novas; Infraestrutura; Mudanças constantes; Escalabilidade,Kubernetes; Cloud AWS; Go,Comunidade; Trabalho remoto; Impacto social; Pesquisa; Desafios
SI17UO,2024-06-02 09:17:55,QA/Testes,C#; Kotlin; PHP; Ruby; TypeScript,Pós-graduação; Trabalho/Prática,Presencial; Times pequenos; Multinacional; Startup; Remoto,Kubernetes; IntelliJ,Outro,Desafio; Carreira,Documentação; Infraestrutura; Falta de requisitos,Go; Kotlin; Data Science,Paixão; Reconhecimento; Empreender
GD90JK,2024-01-17 06:27:30,Estudante,Python; Java; C#; TypeScript,Tutoriais YouTube; Hackathons; Graduação,Academia; Governo; Empresa grande; Startup; Remoto,IntelliJ; Bitbucket,Nunca uso,Desafio; Pesquisa; Inovação; Resolver problemas,Ferramentas novas; Débito técnico; Deploy,Data Science; Blockchain; Kotlin; Rust; DevOps,Empreender; Flexibilidade; Desafios; Trabalho remoto
HP46QG,2024-12-22 13:25:24,Professor,C#; Java; JavaScript,Blogs/Artigos; Trabalho/Prática; Cursos presenciais; Tutoriais YouTube,Remoto; Laboratório,VS Code; IntelliJ,Uso com copilotos,Pesquisa; Desafio; Comunidade; Estabilidade; Autonomia,Falta de requisitos; Teste/QA; Segurança; Bugs difíceis; Deploy,React; Cloud GCP; Data Science; Cloud AWS; Flutter,Boas oportunidades; Curiosidade
EG60PQ,2024-08-20 05:08:33,Professor,Dart; TypeScript; SQL; Kotlin; Rust,Trabalho/Prática; Pós-graduação; Outros; Cursos presenciais; Blogs/Artigos,Governo; Open source; Consultoria; Híbrido; Laboratório,Azure; AWS; GitHub; Vim/Neovim; PyCharm,Uso para documentação,Resolver problemas; Impacto; Dinheiro; Pesquisa; Carreira,Ferramentas novas; Dados ruins,Cloud Azure; Blockchain; Cloud AWS; DevOps,Mercado aquecido; Boas oportunidades; Pesquisa; Ensinar; Remuneração
IP25GM,2024-08-26 02:21:26,Cientista de Dados,Java; Go; TypeScript; C#,Projetos pessoais; Hackathons; Documentação oficial; Blogs/Artigos; Tutoriais YouTube,Open source; Presencial; Governo; Times pequenos,Bitbucket; PyCharm; GitHub,Uso para gerar código,Reconhecimento; Comunidade; Propósito,Débito técnico; Documentação; Escalabilidade,Rust; React; IA/ML,Impacto social; Flexibilidade; Mercado aquecido
